#Timing Information
Average RR Duration		1215		ms
Enddiastole time   		1225.02		ms
Endsystole time    		523.447		ms


#Timestamps
0		ms
35.078		ms
102.506		ms
137.584		ms
172.663		ms
207.741		ms
242.82		ms
277.898		ms
312.976		ms
348.055		ms
383.133		ms
418.212		ms
453.29		ms
488.368		ms
523.447		ms
558.525		ms
593.604		ms
628.682		ms
663.76		ms
698.839		ms
733.917		ms
768.996		ms
804.074		ms
839.152		ms
874.231		ms
909.309		ms
944.388		ms
979.466		ms
1014.54		ms
1049.62		ms
1084.7		ms
1119.78		ms
1154.86		ms
1189.94		ms
1225.02		ms
1260.09		ms
1317.53		ms
1352.61		ms
1387.68		ms
1422.76		ms
1457.84		ms
1492.92		ms
1528		ms
1563.08		ms
1598.15		ms
1633.23		ms
1668.31		ms
1703.39		ms
1738.47		ms
1773.55		ms
1808.63		ms
1843.7		ms
1878.78		ms
1913.86		ms
1948.94		ms
1984.02		ms
2019.1		ms
2054.17		ms
2089.25		ms
2124.33		ms
2159.41		ms
2194.49		ms
2229.57		ms
2264.64		ms
2299.72		ms
2334.8		ms
2369.88		ms
2404.96		ms
2440.04		ms
2475.12		ms
2517.55		ms
2552.63		ms
2587.71		ms
2622.78		ms
2657.86		ms
2692.94		ms
2728.02		ms
2763.1		ms
2798.18		ms
2833.26		ms
2868.33		ms
2903.41		ms
2938.49		ms
2973.57		ms
3008.65		ms
3043.72		ms
3078.8		ms
3113.88		ms
3148.96		ms
3184.04		ms
3219.12		ms
3254.2		ms
3289.27		ms
3324.35		ms
3359.43		ms
3394.51		ms
3429.59		ms
3464.67		ms
3499.74		ms
3534.82		ms
